OBS	INTRATE	INFL	PROD	UNEMPL	COMMPRI	PCE	PERSINC	HOUST					
1982:12	8.95	3.82572	-5.91681	-2.33681	-28.51920	8.92005	1.30230	43.18681					
1983:1	8.68	3.70763	-2.21934	-1.73794	-10.45082	9.14689	1.47280	88.13760					
1983:2	8.51	3.48469	-4.66725	-1.81533	7.50552	7.99941	1.25655	96.18938					
1983:3	8.77	3.59029	-3.17917	-1.48399	35.31073	9.09899	1.76768	72.50269					
1983:4	8.80	4.00000	-1.13280	-0.87186	55.74230	10.09274	0.96251	60.52345					
1983:5	8.63	3.44108	0.17041	-0.51494	45.65217	10.02493	1.73631	73.26829					
1983:6	8.98	2.47423	1.07178	0.17582	55.30303	11.24768	2.24418	92.12860					
1983:7	9.37	2.35897	2.94234	1.02545	54.90196	11.27175	2.52749	53.08748					
1983:8	9.56	2.45650	4.95499	0.85941	77.04082	11.57076	2.39761	82.60038					
1983:9	9.45	2.76356	6.90035	2.31434	65.04854	10.91564	3.00367	49.47552					
1983:10	9.48	2.75229	8.73419	2.93793	69.02439	10.84620	3.92962	46.20631					
1983:11	9.34	3.16327	9.52928	3.47814	82.57373	10.01067	4.41276	30.10204					
1983:12	9.47	3.78710	10.87663	3.89550	82.60870	10.63486	4.84962	29.54720					
1984:1	9.56	4.29009	10.98836	4.13516	47.36842	11.17839	5.16382	19.60908					
1984:2	9.59	4.69388	12.19751	4.76394	45.99589	10.30644	5.76398	33.01942					
1984:3	9.91	4.89297	11.81892	4.87036	53.65344	10.31423	5.96011	3.54919					
1984:4	10.29	4.55466	11.18605	4.95267	29.31655	10.34143	6.50174	25.74728					
1984:5	10.32	4.33468	10.93375	4.97194	3.64842	10.16437	6.30853	-0.11261					
1984:6	11.06	4.32596	10.68960	4.95101	4.06504	9.66328	7.10851	6.34737					
1984:7	11.23	4.30862	9.39336	4.81203	-3.00633	8.29363	5.90422	-2.96919					
1984:8	11.64	4.29570	8.25525	5.43869	-15.41787	8.32760	6.71818	-16.96335					
